20170102020000,object3,50,113,300,95,Blue
20170102020001,object3,50,122,300,88,Blue
20170102020002,object3,49,131,300,87,Blue
20170102020003,object3,56,143,300,85,Blue
20170102020004,object3,39,117,300,97,Blue
20170102020005,object3,46,116,300,97,Blue
20170102020006,object3,40,129,300,86,Blue
20170102020007,object3,53,147,300,93,Blue
20170102020008,object3,39,131,300,87,Blue
20170102020009,object3,60,111,300,90,Blue
20170102020010,object3,56,112,300,98,Blue
20170102020011,object3,43,121,300,99,Blue
20170102020012,object3,37,135,300,96,Blue
20170102020013,object3,59,105,300,97,Blue
20170102020014,object3,30,123,300,87,Blue
20170102020015,object3,40,121,300,89,Blue
20170102020016,object3,54,147,300,98,Blue
20170102020017,object3,31,108,300,99,Blue
20170102020018,object3,25,100,300,98,Blue
20170102020019,object3,55,127,300,93,Blue
20170102020020,object3,38,120,300,100,Blue
20170102020021,object3,58,122,300,82,Blue
20170102020022,object3,59,131,300,96,Blue
20170102020023,object3,44,103,300,95,Blue
20170102020024,object3,56,138,300,83,Blue
20170102020025,object3,52,117,300,81,Blue
20170102020026,object3,49,110,300,97,Blue
20170102020027,object3,50,111,300,86,Blue
20170102020028,object3,28,136,300,83,Blue
20170102020029,object3,52,142,300,85,Blue
20170102020030,object3,58,112,300,83,Blue
20170102020031,object3,48,115,300,97,Blue
20170102020032,object3,45,102,300,83,Blue
20170102020033,object3,54,138,300,99,Blue
20170102020034,object3,49,145,300,94,Blue
20170102020035,object3,45,113,300,82,Blue
20170102020036,object3,56,107,300,84,Blue
20170102020037,object3,59,148,300,87,Blue
20170102020038,object3,41,140,300,98,Blue
20170102020039,object3,30,105,300,100,Blue
20170102020040,object3,30,103,300,88,Blue
20170102020041,object3,54,119,300,81,Blue
20170102020042,object3,44,128,300,98,Blue
20170102020043,object3,60,119,300,86,Blue
20170102020044,object3,49,130,300,89,Blue
20170102020045,object3,28,107,300,80,Blue
20170102020046,object3,48,104,300,99,Blue
20170102020047,object3,33,121,300,92,Blue
20170102020048,object3,30,110,300,99,Blue
20170102020049,object3,36,114,300,94,Blue
20170102020050,object3,52,122,300,80,Blue
20170102020051,object3,43,113,300,81,Blue
20170102020052,object3,29,148,300,87,Blue
20170102020053,object3,45,140,300,94,Blue
20170102020054,object3,48,122,300,81,Blue
20170102020055,object3,37,128,300,92,Blue
